iter	Logloss
0	0.6826494545
1	0.6722723117
2	0.6644119457
3	0.6576885053
4	0.6511562858
5	0.6454350174
6	0.6395275335
7	0.6351936486
8	0.630834543
9	0.6278225844
10	0.6241158163
11	0.6213609732
12	0.6191908721
13	0.6168505918
14	0.614622517
15	0.6122671723
16	0.6105561955
17	0.6081701388
18	0.6069361207
19	0.605391387
20	0.6040511405
21	0.6027301375
22	0.6017288888
23	0.6001126721
24	0.5988142657
25	0.5975403512
26	0.5964171294
27	0.5952123654
28	0.5940683936
29	0.5923073641
30	0.5920533587
31	0.5908198751
32	0.589797925
33	0.5884275497
34	0.5877226811
35	0.5872586001
36	0.5862011272
37	0.5852985261
38	0.5848756535
39	0.5839333504
40	0.5829989682
41	0.5818510116
42	0.5810704808
43	0.580377275
44	0.5795633595
45	0.5789458645
46	0.5782266605
47	0.5774141542
48	0.5765598078
49	0.5756406359
50	0.5748145231
51	0.5741258852
52	0.5734862309
53	0.5727623618
54	0.571020916
55	0.5701067979
56	0.5695917895
57	0.5686837458
58	0.5682150968
59	0.5676420175
60	0.5671422679
61	0.5668162935
62	0.5659203013
63	0.5655442742
64	0.5651801042
65	0.5642328445
66	0.5637694924
67	0.5620631807
68	0.5613692946
69	0.5607815882
70	0.5603098292
71	0.5593835138
72	0.5589669586
73	0.5587092114
74	0.55721074
75	0.5555769805
76	0.5548551523
77	0.5545387997
78	0.5540553779
79	0.5535536845
80	0.5527880237
81	0.5519377107
82	0.5512181179
83	0.5505408026
84	0.5497436523
85	0.5490325636
86	0.5484908766
87	0.5481024578
88	0.5475548422
89	0.5473393726
90	0.5464248657
91	0.546009331
92	0.5455111364
93	0.5443434503
94	0.5434892011
95	0.5422920664
96	0.5420146383
97	0.5414401498
98	0.5409312643
99	0.5403634818
