iter	Passed	Remaining
0	2	236
1	4	220
2	6	215
3	8	213
4	11	213
5	13	212
6	15	209
7	17	206
8	20	202
9	22	198
10	24	194
11	26	191
12	28	188
13	30	186
14	32	184
15	35	184
16	37	185
17	41	188
18	43	185
19	45	182
20	47	180
21	50	178
22	52	175
23	54	172
24	56	170
25	58	167
26	61	164
27	63	162
28	65	159
29	67	158
30	69	155
31	72	153
32	74	150
33	76	148
34	78	145
35	80	143
36	82	141
37	84	138
38	86	135
39	88	133
40	90	130
41	92	128
42	94	125
43	96	123
44	99	121
45	101	118
46	103	116
47	105	114
48	107	111
49	109	109
50	111	106
51	113	104
52	115	102
53	117	99
54	119	97
55	121	95
56	123	92
57	125	90
58	127	88
59	128	85
60	130	83
61	133	81
62	134	79
63	136	77
64	138	74
65	140	72
66	142	70
67	144	68
68	146	66
69	148	63
70	150	61
71	152	59
72	154	57
73	156	54
74	158	52
75	160	50
76	162	48
77	164	46
78	166	44
79	168	42
80	171	40
81	172	37
82	175	35
83	177	33
84	179	31
85	181	29
86	183	27
87	185	25
88	187	23
89	189	21
90	191	18
91	193	16
92	195	14
93	197	12
94	200	10
95	202	8
96	204	6
97	206	4
98	208	2
99	210	0
